scenario,controller,rms_joint_rad,max_joint_rad,final_joint_rad,max_ee_pos_m,peak_force_fraction,saturated_step_fraction,pass
nominal,position PD,0.14092183,0.17193787,0.01108060,0.07768279,0.12082634,0.00000000,false
nominal,PD + velocity FF,0.00968930,0.01211322,0.01167408,0.00858596,1.00000000,0.00114220,true
nominal,PD + velocity FF + nominal bias,0.00163256,0.00463045,0.00005957,0.00361599,1.00000000,0.00114220,true
nominal,nominal bias + integral residual,0.00197244,0.00475903,0.00043721,0.00371643,1.00000000,0.00114220,true
2 kg tool payload,position PD,0.14161195,0.17559334,0.01866818,0.08227951,0.19036603,0.00000000,false
2 kg tool payload,PD + velocity FF,0.01728628,0.02010561,0.01929978,0.01397977,1.00000000,0.00171331,true
2 kg tool payload,PD + velocity FF + nominal bias,0.00838171,0.00920473,0.00785221,0.00600668,1.00000000,0.00171331,true
2 kg tool payload,nominal bias + integral residual,0.00295027,0.00772616,0.00074369,0.00614918,1.00000000,0.00171331,true
65% actuator gains,position PD,0.14164256,0.17383167,0.01718878,0.08009180,0.12102255,0.00000000,false
65% actuator gains,PD + velocity FF,0.01487300,0.01870774,0.01804184,0.01335718,1.00000000,0.00114220,true
65% actuator gains,PD + velocity FF + nominal bias,0.00186851,0.00625924,0.00008041,0.00493542,1.00000000,0.00114220,true
65% actuator gains,nominal bias + integral residual,0.00223998,0.00642530,0.00060201,0.00506983,1.00000000,0.00114220,true
+2 Nms/rad joint damping,position PD,0.14262318,0.17449542,0.01116844,0.07813953,0.12194622,0.00000000,false
+2 Nms/rad joint damping,PD + velocity FF,0.00965584,0.01205947,0.01167279,0.00860005,1.00000000,0.00114220,true
+2 Nms/rad joint damping,PD + velocity FF + nominal bias,0.00141775,0.00436075,0.00005423,0.00323749,1.00000000,0.00114220,true
+2 Nms/rad joint damping,nominal bias + integral residual,0.00183202,0.00491970,0.00081740,0.00375567,1.00000000,0.00114220,true
20 ms command latency,position PD,0.15507665,0.18904039,0.01110658,0.08511318,0.12082250,0.00000000,false
20 ms command latency,PD + velocity FF,0.01742590,0.02317264,0.01167678,0.01421286,1.00000000,0.00114220,true
20 ms command latency,PD + velocity FF + nominal bias,0.01421907,0.01935625,0.00006710,0.00778187,1.00000000,0.00114220,true
20 ms command latency,nominal bias + integral residual,0.01161977,0.03409959,0.00339665,0.01495133,1.00000000,0.00114220,true
20 Nm / 120 ms torque pulse,position PD,0.14091485,0.17193787,0.01108058,0.07755316,0.18595492,0.00000000,false
20 Nm / 120 ms torque pulse,PD + velocity FF,0.00977902,0.01211254,0.01167405,0.00858545,1.00000000,0.00171331,true
20 Nm / 120 ms torque pulse,PD + velocity FF + nominal bias,0.00222192,0.00851039,0.00005955,0.00638410,1.00000000,0.00171331,true
20 Nm / 120 ms torque pulse,nominal bias + integral residual,0.00255677,0.00849754,0.00044757,0.00640241,1.00000000,0.00171331,true
combined moderate shift,position PD,0.14977587,0.18515253,0.01866941,0.08562599,0.15629775,0.00000000,false
combined moderate shift,PD + velocity FF,0.01857049,0.02406949,0.01937812,0.01683355,1.00000000,0.00114220,true
combined moderate shift,PD + velocity FF + nominal bias,0.00937482,0.01165952,0.00495107,0.00686473,1.00000000,0.00114220,true
combined moderate shift,nominal bias + integral residual,0.00711243,0.02235948,0.00195445,0.01320313,1.00000000,0.00114220,true
